Cord hardness id: 0-1 rubbing,,,,
current_force, target_force, pressed_depth(mm), finger_height(mm), finger_init_height(mm)
28.556355,30,26.412891,26.412891,0
28.693035,30,26.738672,26.738672,0
28.788012,30,26.91836,26.91836,0
28.998472,30,26.941015,26.941015,0
29.35577,30,26.941015,26.941015,0
30.053459,30,26.941015,26.941015,0
30.996824,30,26.941015,26.941015,0
31.812603,30,26.714844,26.714844,0
32.103817,30,26.290625,26.290625,0
31.318407,30,26.20664,26.20664,0
30.935574,30,26.20664,26.20664,0
31.017748,30,26.20664,26.20664,0
31.112656,30,26.20664,26.20664,0
31.51059,30,26.116016,26.116016,0
31.51059,30,26.116016,26.116016,0
30.891935,30,26.04961,26.04961,0
30.198391,30,26.04961,26.04961,0
29.311802,30,26.058203,26.058203,0
28.600842,30,26.359766,26.359766,0
28.63896,30,26.671093,26.671093,0
28.677717,30,26.89922,26.89922,0
28.915451,30,27.036327,27.036327,0
29.293522,30,27.023438,27.023438,0
29.820753,30,27.023438,27.023438,0
30.871874,30,26.98086,26.98086,0
31.811502,30,26.666016,26.666016,0
31.951927,30,26.229298,26.229298,0
31.361807,30,26.196484,26.196484,0
30.958847,30,26.196484,26.196484,0
30.976509,30,26.196484,26.196484,0
31.006643,30,26.196484,26.196484,0
31.006643,30,26.196484,26.196484,0
31.087986,30,26.196875,26.196875,0
31.129984,30,26.196875,26.196875,0
30.880886,30,26.196875,26.196875,0
30.562471,30,26.196875,26.196875,0
29.649948,30,26.196875,26.196875,0
28.716698,30,26.381641,26.381641,0
28.353905,30,26.751953,26.751953,0
28.678404,30,26.945312,26.945312,0
28.938278,30,26.932032,26.932032,0
29.300314,30,26.932032,26.932032,0
30.26774,30,26.926563,26.926563,0
31.097586,30,26.720703,26.720703,0
31.853613,30,26.337109,26.337109,0
31.337032,30,26.160156,26.160156,0
30.866028,30,26.160156,26.160156,0
30.866028,30,26.160156,26.160156,0
30.725035,30,26.160156,26.160156,0
30.63868,30,26.160156,26.160156,0
30.773649,30,26.160156,26.160156,0
30.944639,30,26.160156,26.160156,0
