Cord hardness id: 0-1 rubbing,,,,
current_force, target_force, pressed_depth(mm), finger_height(mm), finger_init_height(mm)
29.581448,30,14.278125,25.562109,11.283984
29.581448,30,14.278125,25.562109,11.283984
28.450356,30,14.534375,25.818359,11.283984
27.795605,30,15.031251,26.315235,11.283984
27.617653,30,15.522656,26.806641,11.283984
28.039497,30,15.829297,27.113281,11.283984
28.451841,30,16.010547,27.294531,11.283984
29.316628,30,16.008594,27.292578,11.283984
30.669434,30,15.958594,27.242579,11.283984
32.379272,30,15.487891,26.771875,11.283984
32.449406,30,14.891797,26.175781,11.283984
31.75708,30,14.773438,26.057423,11.283984
31.776754,30,14.772656,26.056641,11.283984
31.641413,30,14.578515,25.862499,11.283984
31.361095,30,14.485938,25.769922,11.283984
31.458735,30,14.485938,25.769922,11.283984
31.400787,30,14.485547,25.769531,11.283984
31.366316,30,14.482423,25.766407,11.283984
31.366316,30,14.482423,25.766407,11.283984
30.722967,30,14.482423,25.766407,11.283984
29.557203,30,14.489062,25.773046,11.283984
28.490257,30,14.88672,26.170704,11.283984
27.96158,30,15.3875,26.671484,11.283984
28.116489,30,15.730079,27.014063,11.283984
28.547523,30,15.932031,27.216015,11.283984
29.072361,30,15.911719,27.195704,11.283984
29.960354,30,15.911719,27.195704,11.283984
31.394833,30,15.748048,27.032032,11.283984
32.530792,30,15.169141,26.453125,11.283984
32.10416,30,14.829688,26.113672,11.283984
31.845621,30,14.814843,26.098827,11.283984
31.897762,30,14.730079,26.014063,11.283984
31.651243,30,14.529687,25.813671,11.283984
31.535532,30,14.498437,25.782421,11.283984
31.468878,30,14.498048,25.782032,11.283984
31.468878,30,14.498048,25.782032,11.283984
31.526289,30,14.490235,25.77422,11.283984
30.993782,30,14.476953,25.760937,11.283984
29.908989,30,14.476953,25.760937,11.283984
28.649908,30,14.590625,25.874609,11.283984
27.76902,30,15.18789,26.471874,11.283984
27.81613,30,15.578906,26.86289,11.283984
28.235493,30,15.870313,27.154297,11.283984
28.752007,30,15.935548,27.219532,11.283984
29.553253,30,15.935548,27.219532,11.283984
30.767319,30,15.870704,27.154688,11.283984
32.295021,30,15.366015,26.65,11.283984
32.152866,30,14.894532,26.178516,11.283984
31.78985,30,14.851953,26.135937,11.283984
31.83844,30,14.742969,26.026953,11.283984
31.445381,30,14.621875,25.905859,11.283984
31.470453,30,14.621875,25.905859,11.283984
31.470453,30,14.621875,25.905859,11.283984
31.75651,30,14.487109,25.771093,11.283984
31.368635,30,14.313281,25.597265,11.283984
30.55061,30,14.314063,25.598047,11.283984
29.591606,30,14.448047,25.732031,11.283984
28.955023,30,14.756249,26.040234,11.283984
28.373363,30,15.133594,26.417578,11.283984
28.183802,30,15.497657,26.781641,11.283984
28.318312,30,15.785937,27.069921,11.283984
28.735449,30,15.941796,27.22578,11.283984
29.327871,30,15.940625,27.224609,11.283984
30.303001,30,15.940625,27.224609,11.283984
31.833391,30,15.69414,26.978125,11.283984
32.626366,30,15.062501,26.346485,11.283984
32.006821,30,14.823047,26.107031,11.283984
31.771664,30,14.790235,26.074219,11.283984
31.696465,30,14.639062,25.923046,11.283984
31.696465,30,14.639062,25.923046,11.283984
31.433163,30,14.578126,25.86211,11.283984
31.540871,30,14.503907,25.787891,11.283984
31.297602,30,14.379687,25.663671,11.283984
30.796377,30,14.380078,25.664062,11.283984
29.959995,30,14.380078,25.664062,11.283984
28.874636,30,14.431251,25.715235,11.283984
28.169825,30,14.877343,26.161327,11.283984
27.891897,30,15.292579,26.576563,11.283984
27.998987,30,15.664844,26.948828,11.283984
28.415859,30,15.894141,27.178125,11.283984
29.020395,30,15.91211,27.196095,11.283984
29.750124,30,15.91211,27.196095,11.283984
31.244324,30,15.890235,27.174219,11.283984
32.549152,30,15.355079,26.639063,11.283984
32.286652,30,14.878516,26.1625,11.283984
32.286652,30,14.878516,26.1625,11.283984
31.830547,30,14.778125,26.062109,11.283984
31.789396,30,14.764453,26.048437,11.283984
31.609274,30,14.579297,25.863281,11.283984
31.523809,30,14.579688,25.863672,11.283984
31.654179,30,14.566016,25.85,11.283984
31.363836,30,14.378125,25.662109,11.283984
30.554234,30,14.378125,25.662109,11.283984
29.455122,30,14.485938,25.769922,11.283984
28.774673,30,14.831641,26.115625,11.283984
28.296726,30,15.21914,26.503124,11.283984
28.193676,30,15.573829,26.857813,11.283984
28.492842,30,15.828906,27.11289,11.283984
28.866327,30,15.933204,27.217188,11.283984
29.538784,30,15.918359,27.202343,11.283984
30.68952,30,15.897656,27.181641,11.283984
32.155174,30,15.490235,26.77422,11.283984
32.445724,30,14.939843,26.223827,11.283984
32.445724,30,14.939843,26.223827,11.283984
31.839874,30,14.822267,26.106251,11.283984
31.848488,30,14.807031,26.091015,11.283984
31.71888,30,14.608594,25.892578,11.283984
31.418903,30,14.575,25.858984,11.283984
31.544956,30,14.563672,25.847656,11.283984
31.417757,30,14.379296,25.66328,11.283984
30.902092,30,14.379687,25.663671,11.283984
29.991533,30,14.38086,25.664845,11.283984
28.863283,30,14.601953,25.885937,11.283984
28.251144,30,15.031251,26.315235,11.283984
28.058947,30,15.427735,26.71172,11.283984
28.228897,30,15.723437,27.007421,11.283984
28.621229,30,15.914844,27.198828,11.283984
29.208214,30,15.911719,27.195704,11.283984
30.150711,30,15.911719,27.195704,11.283984
30.150711,30,15.911719,27.195704,11.283984
31.53797,30,15.728126,27.01211,11.283984
32.603764,30,15.107032,26.391016,11.283984
31.983301,30,14.832032,26.116016,11.283984
31.722246,30,14.817578,26.101562,11.283984
31.818417,30,14.717578,26.001562,11.283984
31.466972,30,14.573438,25.857422,11.283984
31.579655,30,14.573438,25.857422,11.283984
31.548162,30,14.462501,25.746485,11.283984
31.044762,30,14.392188,25.676172,11.283984
